Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag,group_key
155430,7515439,74,6,single,rented,no,Politician,Davanagere,Karnataka,6,11,0,Davanagere_Politician_Karnataka_single_no_rented
136208,6558967,41,10,married,rented,no,Comedian,Bongaigaon,Assam,10,12,0,Bongaigaon_Comedian_Assam_married_no_rented
46655,6314607,50,9,single,rented,no,Microbiologist,Vijayanagaram,Andhra_Pradesh,9,13,0,Vijayanagaram_Microbiologist_Andhra_Pradesh_single_no_rented
44561,1141065,65,3,single,rented,no,Flight_attendant,Tinsukia,Assam,3,11,0,Tinsukia_Flight_attendant_Assam_single_no_rented
175345,1892122,78,10,single,rented,no,Civil_servant,Tezpur,Assam,6,11,0,Tezpur_Civil_servant_Assam_single_no_rented
127789,1864930,54,2,single,norent_noown,yes,Chartered_Accountant,Vellore,Tamil_Nadu,2,10,0,Vellore_Chartered_Accountant_Tamil_Nadu_single_yes_norent_noown
1058,4813985,21,8,single,rented,no,Technical_writer,Tadipatri,Andhra_Pradesh,8,10,0,Tadipatri_Technical_writer_Andhra_Pradesh_single_no_rented
56993,2018172,73,15,single,rented,no,Firefighter,Tiruppur,Tamil_Nadu,3,12,0,Tiruppur_Firefighter_Tamil_Nadu_single_no_rented
115783,8024706,66,17,married,rented,no,Economist,Nagercoil,Tamil_Nadu,12,10,0,Nagercoil_Economist_Tamil_Nadu_married_no_rented
153313,7315908,63,3,single,rented,yes,Web_designer,Thiruvananthapuram,Kerala,3,11,0,Thiruvananthapuram_Web_designer_Kerala_single_yes_rented
212151,630763,36,17,married,rented,no,Hotel_Manager,Hapur,Uttar_Pradesh,13,13,1,Hapur_Hotel_Manager_Uttar_Pradesh_married_no_rented
230149,8158474,72,16,single,rented,no,Chemical_engineer,Mahbubnagar,Telangana,11,10,0,Mahbubnagar_Chemical_engineer_Telangana_single_no_rented
178829,1990293,54,15,single,rented,no,Web_designer,Nagpur,Maharashtra,4,10,0,Nagpur_Web_designer_Maharashtra_single_no_rented
245211,9563135,73,7,single,rented,no,Psychologist,Bilaspur,Chhattisgarh,3,12,0,Bilaspur_Psychologist_Chhattisgarh_single_no_rented
127864,5641705,23,6,single,rented,no,Design_Engineer,Noida,Uttar_Pradesh,6,11,0,Noida_Design_Engineer_Uttar_Pradesh_single_no_rented
249924,1238741,53,13,single,rented,no,Economist,Srikakulam,Andhra_Pradesh,10,13,0,Srikakulam_Economist_Andhra_Pradesh_single_no_rented
214192,1864930,54,2,single,norent_noown,yes,Chartered_Accountant,Vellore,Tamil_Nadu,2,10,0,Vellore_Chartered_Accountant_Tamil_Nadu_single_yes_norent_noown
203478,9282657,57,17,single,rented,no,Web_designer,Sonipat,Haryana,3,14,0,Sonipat_Web_designer_Haryana_single_no_rented
61119,4545563,69,0,single,rented,yes,Design_Engineer,Gorakhpur,Uttar_Pradesh,0,11,0,Gorakhpur_Design_Engineer_Uttar_Pradesh_single_yes_rented
35350,6472266,21,2,single,rented,yes,Mechanical_engineer,Hospet,Karnataka,2,11,1,Hospet_Mechanical_engineer_Karnataka_single_yes_rented
208216,6472266,21,2,single,rented,yes,Mechanical_engineer,Hospet,Karnataka,2,11,1,Hospet_Mechanical_engineer_Karnataka_single_yes_rented
167469,9352887,53,6,single,rented,yes,Technical_writer,Muzaffarnagar,Uttar_Pradesh,6,11,0,Muzaffarnagar_Technical_writer_Uttar_Pradesh_single_yes_rented
41047,2307412,57,7,single,rented,no,Scientist,Aurangabad,Maharashtra,5,14,0,Aurangabad_Scientist_Maharashtra_single_no_rented
138405,4665440,59,5,single,rented,no,Magistrate,Pondicherry,Puducherry,5,11,0,Pondicherry_Magistrate_Puducherry_single_no_rented
5826,649902,54,15,single,rented,no,Technician,Aurangabad,Maharashtra,8,11,0,Aurangabad_Technician_Maharashtra_single_no_rented
41591,3367858,41,5,single,rented,no,Technical_writer,Deoghar,Jharkhand,5,11,0,Deoghar_Technical_writer_Jharkhand_single_no_rented
31247,7415733,25,0,single,rented,no,Hotel_Manager,Gurgaon,Haryana,0,12,0,Gurgaon_Hotel_Manager_Haryana_single_no_rented
10307,7866835,26,18,single,rented,no,Firefighter,Bhilai,Chhattisgarh,3,13,0,Bhilai_Firefighter_Chhattisgarh_single_no_rented
223812,3819728,28,14,single,rented,yes,Police_officer,Ramagundam[27],Telangana,12,14,0,Ramagundam[27]_Police_officer_Telangana_single_yes_rented
157139,2359192,57,1,single,rented,no,Chartered_Accountant,Lucknow,Uttar_Pradesh,1,14,0,Lucknow_Chartered_Accountant_Uttar_Pradesh_single_no_rented
39071,3483388,47,6,single,rented,no,Technician,Amroha,Uttar_Pradesh,6,13,0,Amroha_Technician_Uttar_Pradesh_single_no_rented
83114,8942790,26,0,single,rented,no,Air_traffic_controller,Bikaner,Rajasthan,0,14,0,Bikaner_Air_traffic_controller_Rajasthan_single_no_rented
35869,5726991,78,8,single,rented,no,Scientist,Kamarhati,West_Bengal,8,10,0,Kamarhati_Scientist_West_Bengal_single_no_rented
73195,2018172,73,15,single,rented,no,Firefighter,Tiruppur,Tamil_Nadu,3,12,1,Tiruppur_Firefighter_Tamil_Nadu_single_no_rented
107356,8893424,73,12,single,rented,yes,Dentist,Udaipur,Rajasthan,11,12,0,Udaipur_Dentist_Rajasthan_single_yes_rented
127896,169643,64,6,single,rented,no,Librarian,Uluberia,West_Bengal,4,11,0,Uluberia_Librarian_West_Bengal_single_no_rented
217868,4710557,60,4,married,rented,no,Surveyor,Akola,Maharashtra,4,13,0,Akola_Surveyor_Maharashtra_married_no_rented
247747,8508310,40,12,single,rented,yes,Army_officer,Suryapet,Telangana,3,11,1,Suryapet_Army_officer_Telangana_single_yes_rented
102571,1303835,23,3,single,rented,no,Mechanical_engineer,Rewa,Madhya_Pradesh,3,13,0,Rewa_Mechanical_engineer_Madhya_Pradesh_single_no_rented
48823,8573668,57,15,single,rented,yes,Lawyer,Medininagar,Jharkhand,13,13,1,Medininagar_Lawyer_Jharkhand_single_yes_rented
244563,319316,48,5,single,owned,no,Civil_engineer,Belgaum,Karnataka,5,12,0,Belgaum_Civil_engineer_Karnataka_single_no_owned
200819,938587,44,7,single,rented,no,Economist,Jamshedpur,Jharkhand,7,10,0,Jamshedpur_Economist_Jharkhand_single_no_rented
143349,5773747,74,19,single,rented,no,Drafter,Siwan[32],Bihar,14,13,0,Siwan[32]_Drafter_Bihar_single_no_rented
239737,6125670,49,10,single,rented,no,Technician,Purnia[26],Bihar,9,10,0,Purnia[26]_Technician_Bihar_single_no_rented
204805,5098333,31,0,single,rented,yes,Civil_engineer,Phagwara,Punjab,0,11,0,Phagwara_Civil_engineer_Punjab_single_yes_rented
25121,7539777,57,4,single,rented,no,Biomedical_Engineer,Gudivada,Andhra_Pradesh,4,14,0,Gudivada_Biomedical_Engineer_Andhra_Pradesh_single_no_rented
163318,1141065,65,3,single,rented,no,Flight_attendant,Tinsukia,Assam,3,11,0,Tinsukia_Flight_attendant_Assam_single_no_rented
175907,2082678,27,2,single,rented,no,Technology_specialist,Guwahati,Assam,2,10,0,Guwahati_Technology_specialist_Assam_single_no_rented
141257,5364976,73,13,single,rented,no,Artist,Anantapuram[24],Andhra_Pradesh,3,10,0,Anantapuram[24]_Artist_Andhra_Pradesh_single_no_rented
245987,9188756,72,10,single,rented,yes,Web_designer,Thiruvananthapuram,Kerala,8,12,0,Thiruvananthapuram_Web_designer_Kerala_single_yes_rented
162472,2737514,58,14,single,rented,no,Technician,Visakhapatnam[4],Andhra_Pradesh,13,10,0,Visakhapatnam[4]_Technician_Andhra_Pradesh_single_no_rented
73511,2307412,57,7,single,rented,no,Scientist,Aurangabad,Maharashtra,5,14,0,Aurangabad_Scientist_Maharashtra_single_no_rented
91992,2218280,34,9,single,rented,no,Psychologist,Gaya,Bihar,9,11,0,Gaya_Psychologist_Bihar_single_no_rented
566,6963246,35,16,single,rented,no,Industrial_Engineer,Gurgaon,Haryana,14,12,1,Gurgaon_Industrial_Engineer_Haryana_single_no_rented
151149,9643150,24,13,single,rented,no,Comedian,Indore,Madhya_Pradesh,6,14,0,Indore_Comedian_Madhya_Pradesh_single_no_rented
61479,8942790,26,0,single,rented,no,Air_traffic_controller,Bikaner,Rajasthan,0,14,0,Bikaner_Air_traffic_controller_Rajasthan_single_no_rented
241452,8788152,57,2,single,rented,yes,Microbiologist,Bhusawal,Maharashtra,2,13,0,Bhusawal_Microbiologist_Maharashtra_single_yes_rented
236364,8247131,51,19,single,rented,no,Designer,Bhagalpur,Bihar,10,11,0,Bhagalpur_Designer_Bihar_single_no_rented
133190,1864930,54,2,single,norent_noown,yes,Chartered_Accountant,Vellore,Tamil_Nadu,2,10,0,Vellore_Chartered_Accountant_Tamil_Nadu_single_yes_norent_noown
44527,8716053,51,11,married,rented,yes,Psychologist,Tadepalligudem,Andhra_Pradesh,4,10,0,Tadepalligudem_Psychologist_Andhra_Pradesh_married_yes_rented
76098,6802871,54,20,single,rented,yes,Industrial_Engineer,Kadapa[23],Andhra_Pradesh,7,13,0,Kadapa[23]_Industrial_Engineer_Andhra_Pradesh_single_yes_rented
140781,7592145,68,20,single,rented,yes,Industrial_Engineer,Shivpuri,Madhya_Pradesh,4,10,0,Shivpuri_Industrial_Engineer_Madhya_Pradesh_single_yes_rented
126254,5839084,35,20,single,rented,yes,Secretary,Jamshedpur,Jharkhand,10,10,0,Jamshedpur_Secretary_Jharkhand_single_yes_rented
62804,4665440,59,5,single,rented,no,Magistrate,Pondicherry,Puducherry,5,11,0,Pondicherry_Magistrate_Puducherry_single_no_rented
193336,109949,25,1,single,rented,no,Chemical_engineer,Bhilwara,Rajasthan,1,12,0,Bhilwara_Chemical_engineer_Rajasthan_single_no_rented
26388,1106260,39,8,single,owned,no,Aviator,Raipur,Chhattisgarh,8,10,1,Raipur_Aviator_Chhattisgarh_single_no_owned
