Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag,group_key
204837,7049933,23,16,single,rented,no,Flight_attendant,Anantapuram[24],Andhra_Pradesh,5,10,0,Anantapuram[24]_Flight_attendant_Andhra_Pradesh_single_no_rented
247011,2240617,60,19,single,rented,yes,Lawyer,Karnal,Haryana,12,14,0,Karnal_Lawyer_Haryana_single_yes_rented
39595,9574183,39,14,single,rented,yes,Police_officer,Varanasi,Uttar_Pradesh,8,12,0,Varanasi_Police_officer_Uttar_Pradesh_single_yes_rented
145622,8915716,46,3,single,rented,no,Software_Developer,Aizawl,Mizoram,3,11,0,Aizawl_Software_Developer_Mizoram_single_no_rented
170431,6598959,38,14,single,rented,no,Politician,Jaipur,Rajasthan,11,11,0,Jaipur_Politician_Rajasthan_single_no_rented
150559,8557058,33,2,single,rented,no,Industrial_Engineer,Deoghar,Jharkhand,2,14,1,Deoghar_Industrial_Engineer_Jharkhand_single_no_rented
102943,1672431,45,8,single,rented,no,Drafter,Jalandhar,Punjab,8,14,0,Jalandhar_Drafter_Punjab_single_no_rented
100950,5545675,44,9,single,rented,no,Web_designer,Surendranagar_Dudhrej,Gujarat,6,12,0,Surendranagar_Dudhrej_Web_designer_Gujarat_single_no_rented
72999,207067,61,18,single,rented,no,Aviator,Ranchi,Jharkhand,12,10,0,Ranchi_Aviator_Jharkhand_single_no_rented
205251,8171432,69,8,single,owned,yes,Engineer,Aligarh,Uttar_Pradesh,6,10,0,Aligarh_Engineer_Uttar_Pradesh_single_yes_owned
178386,9984878,51,18,single,rented,yes,Comedian,Jammu[16],Jammu_and_Kashmir,8,12,0,Jammu[16]_Comedian_Jammu_and_Kashmir_single_yes_rented
73130,2184898,28,6,single,rented,no,Army_officer,Bharatpur,Rajasthan,6,10,0,Bharatpur_Army_officer_Rajasthan_single_no_rented
102708,2015341,47,6,single,rented,no,Graphic_Designer,Panvel,Maharashtra,6,13,0,Panvel_Graphic_Designer_Maharashtra_single_no_rented
93400,4746091,23,5,single,rented,yes,Scientist,Kishanganj[35],Bihar,5,14,0,Kishanganj[35]_Scientist_Bihar_single_yes_rented
112065,16890,21,8,married,rented,no,Economist,Farrukhabad,Uttar_Pradesh,7,13,0,Farrukhabad_Economist_Uttar_Pradesh_married_no_rented
92595,9176670,69,12,single,rented,no,Aviator,Bidar,Karnataka,6,12,0,Bidar_Aviator_Karnataka_single_no_rented
59657,6668606,45,2,single,rented,no,Designer,Giridih,Jharkhand,2,10,0,Giridih_Designer_Jharkhand_single_no_rented
93018,5096110,24,18,single,rented,yes,Surgeon,Kishanganj[35],Bihar,11,12,0,Kishanganj[35]_Surgeon_Bihar_single_yes_rented
207972,7686186,69,15,single,owned,yes,Air_traffic_controller,Bhiwandi,Maharashtra,4,13,0,Bhiwandi_Air_traffic_controller_Maharashtra_single_yes_owned
203303,6084338,22,10,single,rented,no,Chef,Bharatpur,Rajasthan,10,12,0,Bharatpur_Chef_Rajasthan_single_no_rented
137008,5544342,73,4,single,owned,no,Mechanical_engineer,Ghaziabad,Uttar_Pradesh,4,12,0,Ghaziabad_Mechanical_engineer_Uttar_Pradesh_single_no_owned
233022,5893972,58,3,married,rented,no,Politician,Surat,Gujarat,3,10,1,Surat_Politician_Gujarat_married_no_rented
167167,8915716,46,3,single,rented,no,Software_Developer,Aizawl,Mizoram,3,11,0,Aizawl_Software_Developer_Mizoram_single_no_rented
7713,469269,65,7,single,rented,no,Software_Developer,Nashik,Maharashtra,3,12,0,Nashik_Software_Developer_Maharashtra_single_no_rented
135450,6118570,53,14,married,rented,no,Technology_specialist,Dehradun,Uttarakhand,14,13,0,Dehradun_Technology_specialist_Uttarakhand_married_no_rented
116027,490369,23,7,single,rented,yes,Analyst,Jalandhar,Punjab,6,14,1,Jalandhar_Analyst_Punjab_single_yes_rented
121592,7692135,40,1,single,rented,yes,Comedian,Navi_Mumbai,Maharashtra,1,12,0,Navi_Mumbai_Comedian_Maharashtra_single_yes_rented
163363,8702383,76,20,single,rented,no,Surveyor,Mahbubnagar,Telangana,3,12,0,Mahbubnagar_Surveyor_Telangana_single_no_rented
85829,2730986,35,10,single,rented,no,Web_designer,Panchkula,Haryana,4,14,0,Panchkula_Web_designer_Haryana_single_no_rented
216189,2806870,50,4,married,rented,no,Air_traffic_controller,Sagar,Madhya_Pradesh,4,12,0,Sagar_Air_traffic_controller_Madhya_Pradesh_married_no_rented
217586,7020221,63,16,single,rented,no,Architect,Katihar,Bihar,7,14,0,Katihar_Architect_Bihar_single_no_rented
21048,5379845,31,5,married,rented,no,Police_officer,Narasaraopet,Andhra_Pradesh,5,12,1,Narasaraopet_Police_officer_Andhra_Pradesh_married_no_rented
48536,3248372,30,4,single,rented,no,Mechanical_engineer,Bijapur,Karnataka,3,10,0,Bijapur_Mechanical_engineer_Karnataka_single_no_rented
129620,3248372,30,4,single,rented,no,Mechanical_engineer,Bijapur,Karnataka,3,10,0,Bijapur_Mechanical_engineer_Karnataka_single_no_rented
198499,8521702,40,15,single,rented,yes,Software_Developer,Dharmavaram,Andhra_Pradesh,10,10,0,Dharmavaram_Software_Developer_Andhra_Pradesh_single_yes_rented
35,9086933,55,7,single,rented,no,Air_traffic_controller,Saharanpur,Uttar_Pradesh,7,13,0,Saharanpur_Air_traffic_controller_Uttar_Pradesh_single_no_rented
56596,7466449,64,11,single,rented,yes,Comedian,Kota[6],Rajasthan,10,13,0,Kota[6]_Comedian_Rajasthan_single_yes_rented
79922,7985654,49,5,single,rented,no,Web_designer,Nandyal,Andhra_Pradesh,5,14,0,Nandyal_Web_designer_Andhra_Pradesh_single_no_rented
124040,8915716,46,3,single,rented,no,Software_Developer,Aizawl,Mizoram,3,11,0,Aizawl_Software_Developer_Mizoram_single_no_rented
119780,8448595,32,13,single,owned,no,Financial_Analyst,Satna,Madhya_Pradesh,3,13,0,Satna_Financial_Analyst_Madhya_Pradesh_single_no_owned
120915,3130971,43,16,single,rented,yes,Aviator,Chennai,Tamil_Nadu,13,11,0,Chennai_Aviator_Tamil_Nadu_single_yes_rented
